Study,Title,Year,Agent Constructed,Agent-Agent Interactions,Agent-Environment Interactions ,Environment,Decision-Making & Actions,Observations,Evaluation and Validation Techniques,Limitation and Challenges,Domain,M-Labels,V-Labels,L-Label
11,ABIDES: Towards high-fidelity multi-agent market simulation,2020,Learning traders & exchange,Message-based trading,LOB feedback,High-fidelity exchange,RL + heuristics,"Order flow, messages",Replay validation vs NASDAQ; stylized fact replication.,Computationally heavy; calibration complex,finance,"M1, M3","V2, V5, V6","L6, L7"
12,Mitigating housing market shocks: an agent-based reinforcement learning approach with implications for real-time decision support,2024,RL policy maker + households,Buying/selling,Price/affordability feedback,Housing market,RL interventions,Market indicators,"100 episodes, exogenous market shocks, stable median house prices, small fluctuations, median house price to income ratio < 7, people in negative equity. compared with the base work model, observed similar data trends used Q-Q plot to compare probability distributions Metrics - median house price to income ratio, pearson's correlation coefficient,median house price, houses in negative equity, mortgage to income ratio, number of transactions,","Tools are limited
May not be indicative of real-world
They use a simiplified version
Overfitting, Exploration-Exploitation trade off, computation demand",housing,"M1, M3","V2, V4, V13","L1, L3, L7, L10"
13,Using realistic trading strategies in an agent-based stock market model,2018,"Fundamental, chartist traders",Price/volume competition,Respond to indicators,CDA market,Rule-based indicators,Price history,Rule-based trader heuristics.,"Validation pipeline face -  sensitivity, calibration, output.",finance,M3,"V11, V13","L2, L7"
14,"Bubbles, crashes and intermittency in agent based market models",2003,Adaptive traders,Order competition,Price feedback,Market with strategy pool,Profit-based switching,Trend signals,Conceptual validation via scenarios.,No empirical calibration; simplified firm dynamics.,finance,M3,"V9, V11","L1, L7"
15,Cognitive-agent-based modeling of a financial market,2009,BDI cognitive agents,Indirect interactions,Book/indicator feedback,Order-driven market,BDI belief–desire–goal reasoning,Technical indicators,"time series metrics - variation of prices, comparison between prices and mobile averages, ratio of price to fast and price to slow mobile averages, ratio of price to mobile average, MACD technical indicator SMA, EMA, MACD ",,finance,M4,V13,L1
16,Intelligent agent-assisted adaptive order simulation system in the artificial stock market,2012,"Investor, stock, info agents",Buy/sell + info,Market news feedback,Stock exchange,News-based adaptive strategies,Indicators & news,Scenario tests (short-selling); stylized fact validation (price fluctuations).,Limited empirical calibration; context-specific; China focus.,finance,"M3, M9","V5, V9","L2, L3, L7"
17,Validating agent-based marketing models through conjoint analysis,2007,Consumer & firm agents,Market exchange,Product attribute feedback,Marketing simulation,Utility-based conjoint,Conjoint utilities,Empirical calibration (conjoint first-choice); verification vs stylized facts.,Narrow demonstration; limited generality.,consumer,M6,"V1, V2, V11",L3
18,Agent‐based modeling of new product market diffusion: an overview of strengths and criticisms,2021,"Consumers, distributors",Social influence,Adoption feedback,Market diffusion ABM,Network influence + thresholds,Adoption signals,"Network diffusion, threshold, utility-based models.","Survey of validation methods: face, stylized facts, calibration.",consumer,M5,"V11, V13",L2
19,Modeling hedonic residential rents for land use and transport simulation while considering spatial effects,2010,"Households, housing units",Compete spatially,Spatial attributes,UrbanSim,Utility/location optimization,"Accessibility, cost",OLS vs SAR vs GWR.,ignores spatial effects; improves realism.,housing,"M6, M9","V2, V3, V13",L8
20,Empirical agent-based land market: Integrating adaptive economic behavior in urban land-use models,2015,"Households, developers",Exchange property info,Respond to zoning,Urban growth model,Investment/relocation,Land amenities,GIS parcel data; validation through emergent price distributions & spatial patterns.,Calibration difficult; limited generalizability; simplified realtor rules.,housing,M3,"V2, V3, V13","L3, L7, L8"
21,Getting at systemic risk via an agent-based model of the housing market,2012,"Households, lenders",Trade mortgages,Leverage & price feedback,US housing model,Borrow/lend heuristics,"Credit, leverage",Calibrated to U.S. mortgage data; validated vs aggregate price/leverage cycles.,Stylized borrower assumptions; calibration intensive.,housing,M3,"V2, V13, V14","L1, L7"
22,Beaming market simulation to the future by combining agent-based modeling with scenario analysis,2021,"Consumers, producers",Influence communication,Macro scenario feedback,Multi-method ABM,Utility-based adoption,Scenario parameters,Adoption agents + scenario contexts.,Smart product diffusion case; sensitivity tests.,consumer,M6,"V9, V12",L1
23,Review and analysis of investment decision making algorithms in long-term agent-based electric power system simulation models,2021,GenCo agents,Compete & invest,Price/policy forecasts,Power system ABM,NPV/IRR optimization,Price projections,Sensitivity analysis; robustness checks in long-term ABM.,Opaque assumptions; outcomes sensitive to projections.,finance,M6,"V8, V11","L5, L7"
24,Towards realistic market simulations: a generative adversarial networks approach,2021,CGAN-based world model,Traders interact with generator,GAN-generated states,ABIDES + GAN hybrid,GAN-driven state representation,Synthetic order flow,Stylized fact validation; statistical tests vs historical data.,"GAN instability, lack interpretability.",finance,"M3, M10","V4, V5","L9, L10"
25,Agent and system dynamics-based hybrid modeling and simulation for multilateral bidding in electricity market,2019,"Power plants, operators",Multilateral bidding,Demand/capacity feedback,Hybrid ABS–SDS,RL bidding + SD dynamics,"Demand, bids","Market clearing convergence, price stability; validate ABS and SDS separately.",Simplifying assumptions; RL details brief; limited validation.,electricity,"M1, M3","V7, V13","L1, L2"
26,Changing neighborhoods—neighborhoods changing: a framework for spatially explicit agent-based models of social systems,2009,Households,Social connections,Evolving neighborhoods,Spatial ABM,Satisfaction thresholds,Spatial attributes,Spatial ABM with GIS integration.,Conceptual only.,housing,"M3, M5","V3, V11",L1
28,An adaptive attitude bidding strategy for agents in continuous double auctions,2007,Buyers & sellers,CDA trading,Price feedback,CDA simulator,Heuristic adaptive bidding,Order book,"Simulations in CDA; metrics = efficiency, profit, success rate.",results sensitive to thresholds; no empirical data.,consumer,M3,"V13, V11",L5
29,Toward strength and stability: Agent-based modeling of infrastructure markets,2001,Power agents,Exchange bids,Market signals,Dual-market CAS,Iterative optimization,"Prices, constraints","Demonstrator models; describe agent rules (profit‑driven generation, bankruptcy/new capacity); discuss time management & resolution.",limited empirical validation; simplified bidding processes.,consumer,"M3, M6","V9, V11","L2, L8"
30,Volatility analysis of financial agent-based market dynamics from stochastic contact system,2016,Investors w/ attitudes,Attitude contagion,Price contagion,Lattice contagion,State-switching,Attitude states,Stochastic lattice/contact process.,"Compare simulated vs SSECI, HSI indices.",finance,M5,V13,L1
31,"Agent-based housing market microsimulation for integrated land use, transportation, environment model system",2013,"Households, firms",Trade dwellings,Transport feedback,ILUTE,Probabilistic choice,Accessibility,Census-calibrated synthetic households; GTA data validation (20 years).,Disequilibrium clearing; computationally intensive.,housing,M6,"V1, V2, V3","L1, L6"
32,Integrating agent-based simulation and system dynamics to support product strategy decisions in the automotive industry,2009,"Manufacturers, suppliers, consumers",Exchange info,Policy/market feedback,Hybrid ABM–SD,R&D decisions,Forecasts,Scenario validation; sensitivity with industry data.,No micro-level adaptive consumer learning; deterministic loops.,retail,M3,"V8, V9, V11","L1, L8"
33,Agent-based modeling in electrical energy markets using dynamic Bayesian networks,2016,GenCo agents,Compete via bidding,Uncertain demand,DBN-based prediction,Bayesian bid learning,Forecasts,Forecast accuracy; probabilistic inference performance.,Large data needs; scalability limits; no strategic adaptation.,electricity,"M6, M9","V12, V13","L4, L8, L11"
34,An agent-based model for designing a financial market that works well,2020,Heterogeneous traders,Indirect via orders,Regulatory feedback,Artificial market,Rule-based strategies,Microstructure,Price efficiency & tick-size policy impacts; qualitative policy insights.,limited agent diversity.,consumer,M3,"V13, V14",L8
35,Transaction costs influence on the stability of financial market: agent-based simulation,2013,Technical/fundamental traders,Compare profits,Price feedback,NetLogo market,Rule-based switching,"Returns, costs","Simulation under varied transaction cost rates; market stability metrics (price volatility, trade volume).",Simplified microstructure; no adaptive learning; fixed behavioral rules.,finance,M3,"V5, V13","L1, L8"
36,Nemsim: Agent-based simulator for australia's national electricity market,2005,"Generators, retailers",Market clearing,Weather & demand,Australian NEM,Strategic bidding,"Demand, prices",Validation on 6-year demand/price/dispatch; scenario-based evaluation.,Prototype; lacks explicit learning and dynamic pricing adaptation.,retail,M3,"V2, V9","L1, L8"
37,A study of stock market trading behavior and social interactions through a multi agent based simulation,2010,Trader agents,Exchange info & imitate,Global market signals,Stock market,Social imitation + utility,Peer info,Scenario experiments; examine price/volume dynamics and behavioral patterns; qualitative comparison to stylized facts.,Limited empirical calibration; simplified microstructure; learning rules simplistic.,finance,"M5, M6","V5, V11","L1, L7, L8"
38,"Once Burned, Twice Shy? The Effect of Stock Market Bubbles on Traders that Learn by Experience",2023,Trader agents,Exchange via DA,Observe market,Experimental DA,Loss-memory adaptation,Price history,Compare momentum→value shifts; bubble size/duration metrics.,RL-centric; limited human heterogeneity; synthetic data.,finance,M3,"V13, V11","L3, L4, L8"
39,Exploring Electric Vehicle Market Dynamics with Agent-Based Modelling: The Impact of Design Strategies and Consumer Characteristics,2024,"Customers, OEMs",Choice + competition,Market attributes,EV market model,Utility-based choice,Vehicle attributes,Multi-year simulations; market-share and profit comparisons.,No policy feedback loops; no adaptive consumer learning.,consumer,"M3, M6","V12, V13","L1, L8"
40,Bidding Strategy Simulation in the Day Ahead Electricity Market via Reinforcement Learning,2023,DDPG agent,Competes via bids,Price signals,Italian electricity market,DDPG continuous bidding,Price forecasts,Italian market data experiments; normalized reward/profit convergence.,Generalization limits; single-agent focus.,electricity,M2,"V7, V12, V13","L3, L8"
41,Simulation Framework for Self-Evolving Agent-based Models: A Case Study of Housing Market Model,2018,"Buyers, sellers",Housing transactions,Calibration feedback,DEVS housing model,Adaptive calibration,Market data,Calibration error minimization with real housing data; iterative validation.,"Focus on structure adaptation, not behavioral learning; scalability limits.",housing,"M3, M9","V1, V13","L8, L11"
42,Auction Policy Analysis: An Agent-Based Simulation Optimization Model of Grain Market,2016,"Government, traders",Auction bidding,Price feedback,Grain reserve market,OCBA optimization,Auction results,Multi-scenario tests; sensitivity to auction frequency/volume; variance analysis.,Static optimization,auction,"M3, M7","V8, V9, V13",L1
43,Duopoly Electricity Markets with Accurate and Inaccurate Market Goals,2009,Two generators,Repeated bidding,ISO feedback,Pool market,Hill-climbing adaptive bidding,Clearing prices,Collusive vs competitive equilibria simulation; profit comparisons under goal accuracy.,Duopoly simplification; local search limits; poor exploration.,electricity,"M3, M7","V9, V11","L1, L10"
44,A simple learning agent interacting with an agent-based market model,2024,RL trader + ABM agents,DA trades,LOB feedback,CDA simulator,Q-learning execution,Microprice,"Stylized-fact calibration (Hurst exponent, price-impact, trade-sign correlations).",Single RL agent; small state space; no co-learning.,finance,"M1, M3","V5, V13","L1, L8"
45,The evolutionary game equilibrium theory on power market bidding involving renewable energy companies,2025,Energy consumers & suppliers,Compete via prices,Renewable feedback,Energy market ABM,Behavioral + evolutionary strategies,"Costs, output","Dynamic simulations: stability vs costs, demand, bidding ranges.",Analytical emphasis; limited empirical validation;,electricity,"M7, M8","V9, V13",L2
46,Endogenous rise and collapse of housing price: An agent-based model of the housing market,2017,"Households, speculators",Trade & lend,Financial leniency,Housing market,Adaptive expectations,Credit,Scenarios on lenient lending & speculation; match U.S. bubble patterns.,No full empirical calibration; simplified mortgage dynamics.,housing,"M3, M9","V2, V5, V14","L1, L7"
47,Heterogeneous effects and spillovers of macroprudential policy in an agent-based model of the UK housing market,2023,"Households, lenders",Housing + credit,Policy feedback,UK housing model,Behavioral bidding,Credit shocks,Empirical calibration with loan‑level and listing micro‑data; comparative‑static policy experiments; distributional outcomes by subgroup.,Computationally intensive; policy scope limited to borrower‑based tools; behavior fixed (no RL adaptation).,housing,M3,"V1, V2, V3, V14","L6, L8"
48,"A high-resolution, data-driven agent-based model of the housing market",2023,4M agents,Market & credit,Macroeconomic feedback,Hungarian simulation,Empirical rules,Microdata,Calibrated to microdata; reproduces regional/decile characteristics; prompt-time simulations.,Compute-heavy;,housing,"M3, M6","V1, V2, V3",L6
49,The impact of social influence in Australian real estate: Market forecasting with a spatial agent-based model,2023,"Buyers, sellers, investors",Social network,Trend feedback,Spatial model,FOMO heuristics,Peer influence,Calibrated/validated on Greater Sydney data; area-specific trend prediction.,Fixed behavioral rules; limited long-run feedback,housing,"M3, M5","V3, V12","L1, L8"
50,Taming the housing roller coaster: The impact of macroprudential policy on the house price cycle,2023,Households & banks,Credit competition,Macroprudential rules,Spanish market,Heuristic responses,Credit variables,Calibrate LTV/LTI to match cycle amplitude; phase-specific effects analysis.,Behavioral adaptation limited; macroprudential focus.,housing,M3,"V2, V14",L8
51,A behavioural agent-based model for housing markets: impact of financial shocks in UK,2024,Households w/ heuristics,Compete for houses,Macro shocks,UK housing ABM,Behavioral rules,"Interest rate, credit","Shock experiments (interest rate, LTV); track prices, rents, buyers/sellers.",Exploratory calibration; simplified bounded rationality.,housing,M3,"V9, V14","L1, L7"
52,Strategic bidding in electricity markets: An agent-based simulator with game theory for scenario analysis,2013,GenCo & consumers,Game-theoretic bidding,Supply-demand feedback,Hybrid ABM + game theory,Nash + Q-learning,Payoff signals,Iberian market case; comparisons with baseline decision rules.,Game-theory scope short-term; high compute for scenarios.,electricity,"M1, M7","V2, V10, V14","L1, L6"
53,Market power analysis in the EEX electricity market: An agent-based simulation approach,2008,GenCo agents,Strategic withholding,Clearing-price feedback,EEX market,Adaptive bidding,Competitor bids,Sensitivity of supply bids; welfare & price variance; calibration to EEX data.,behavioral realism limited.,electricity,"M3, M7","V2, V8, V13",L8
54,Agent based simulation of carbon emissions trading market,2011,Nation-level agents,Bid credits,Policy feedback,JADE carbon market,Dynamic bidding,Emission prices,Scenario analysis across carbon demand; compare price dynamics & total reductions.,simplified strategies; static policy.,finance,"M3, M7","V9, V14","L1, L8"
55,StockYard: A Discrete Event-Based Stock Market Exchange Simulator,2017,Traders + exchange,Latency competition,Order book,DE market kernel,Rule-based & ML agents,LOB,Matching engine validation; latency matrix; throughput; qualitative realism checks.,No adaptive learning; static strategy parameters.,finance,"M3, M9","V6, V11",L8
56,Comparison of Different Market Making Strategies for High Frequency Traders,2015,HFT agents,Quoting competition,Microstructure,DE ABM,Quoting strategy adaptation,Order book,"Order-book metrics (returns, spreads, inventory); latency/competition sensitivity.",Limited real-market validation; fixed parameters.,finance,M3,"V13, V6","L2, L7"
57,Price variation limits and financial market bubbles: Artificial market simulations with agents' learning process,2013,Investors,Indirect price interaction,Price limits,CDA ABM,Learning profitable strategies,Signals,Bubble-trigger experiments; volatility/hazard-rate analysis vs non-learning agents.,Single-asset; lacks institutional constraints.,finance,M3,"V5, V13","L1, L8"
58,A factor-based probabilistic cost model to support bid-price estimation,2012,Decision-maker,—,Cost environment,Probabilistic cost simulation,Factor-based cost modeling,Cost variables,Case studies on 3 residential projects; cross-check against detailed estimates; sensitivity to cost-division factors.,Domain-specific (construction); depends on expert factor elicitation;,auction,"M6, M9","V2, V11, V13","L3, L5"
59,An economic agent-based model of coupled housing and land markets (CHALMS),2011,"Consumers, developers, farmers",Trade land/housing,Land-use feedback,Spatial ABM,Microeconomic rules,"Demand, constraints",Density-gradient and land-price dispersion pattern validation.,Simplified policy feedback; deterministic behaviors.,housing,M6,"V3, V13","L1, L8"
60,Strategic agent-based modeling of financial markets,2017,Algorithmic traders,CDA competition,Liquidity feedback,Simplified CDA,Game-theoretic + ABM,Equilibrium signals,Stability scenarios; spread–welfare analysis.,Computational intensity; simplified order book;,finance,"M3, M7","V9, V13","L1, L6"
61,Agent-based simulation of retail electricity markets: Bilateral trading players,2013,Buyer & seller electricity agents,Bilateral negotiation,Transmission constraints,Retail contract simulator,Negotiation protocols,Contract offers,Qualitative validation of negotiation behaviors; review of existing market simulators; discussion of agent roles in retail EMs.,No end‑to‑end market‑clearing with network constraints; limited quantitative benchmarking,electricity,"M3, M7",V11,"L2, L8"
62,Genetic algorithm optimisation of an agent-based model for simulating a retail market,2007,Petrol stations,Spatial pricing,Spatial demand,Spatial ABM,GA optimized pricing,Spatial flow,GA-based calibration vs expert tuning; validated on local data.,GA can be expensive,retail,M3,"V1, V2, V11","L6, L10"
63,Agent-based simulation-an application to the new electricity trading arrangements of England and Wales,2001,"Generator, supplier, operator",Bilateral trades,Settlement/imbalance,UK NETA,RL pricing,Settlement results,Pre-implementation policy evaluation (pricing/balancing/settlement); multi-run statistics.,Computational cost; limited cross-market generalization.,electricity,M1,"V7, V9, V14","L3, L6"
64,Agent-based simulation of consumer purchase decision-making and the decoy effect,2007,Consumer agents,Influence & imitation,Marketing stimuli,Consumer market,Motivation-based choice,Product attributes,Emergence of decoy effect; price–quality sensitivity studies.,Abstracted; lacks empirical calibration.,consumer,"M5, M6","V11, V13","L2, L7"
65,Heterogeneity and feedback in an agent-based market model,2005,Traders,Indirect via order flow,Price feedback,Single-asset market,Strategy updates,Price movement,"Stylized facts validation (volatility clustering, zero return autocorrelation).",No strategic learning; single-asset simplification.,finance,M3,V5,"L1, L8"
66,Deep reinforcement learning-based optimal bidding strategy for real-time multi-participant electricity market with short-term load,2024,GenCo bidding agents,Compete via bids,Load feedback,Real-time market simulator,PPO bidding,"Prices, loads",Fixed vs time-varying load experiments; Nash-like equilibria; profit gains vs MPEC.,Scalability/observability assumptions.,electricity,M2,"V7, V12, V13","L1, L11"
67,"Reinforcement Learning-Based Smart Bidding
Strategy in Electricity Market for Effective
Distributed Consumer Participation",2024,GenCos & consumers,Bid + price update,Grid constraints,Five-bus grid,RL bidding,"LMP, demand",Compare day-ahead outcomes across demand segmentation; reward convergence; LMP variance.,Small five-bus test system; single RL layer; limited stochastic demand exploration.,electricity,M1,"V7, V13","L1, L8"
